Code	Icon	Type	Attr	Param1	Param2	Param3	strParam      	Name
00001	32009	Coin	-   	1   	0   	0   	none          	Coin 1
00002	32010	Coin	-   	100  	0   	0   	none          	Coin 5
00003	32011	Coin	-   	300 	0   	0   	none          	Coin 10
00004	32012	Coin	-   	500  	0   	0   	none          	Coin 50
00005	32013	Coin	-   	1000 	0   	0   	none          	Coin 100
00101	32001	Mineral	-   	1   	0   	0   	none          	Mineral 1
00102	32002	Mineral	-   	100   	0   	0   	none          	Mineral 1
00103	32003	Mineral	-   	300   	0   	0   	none          	Mineral 1
00104	32004	Mineral	-   	500   	0   	0   	none          	Mineral 1
00105	32005	Mineral	-   	1000   	0   	0   	none          	Mineral 1
//
02001	64001	SpAtk	BSQC	1   	1.5   	0   	AS_BOMB       	Air-strike Bomb
02002	64002	SpAtk	BSQC	2   	1.5   	0   	AS_BOMB       	Air-strike Bomb
02003	64003	SpAtk	BSQC	3   	1.5   	0   	AS_BOMB       	Air-strike Bomb
02004	64004	SpAtk	BSQC	4   	1.5   	0   	AS_BOMB       	Air-strike Bomb
02005	64005	SpAtk	BSQC	5   	1.5   	0   	AS_BOMB       	Air-strike Bomb
02011	64011	SpAtk	BSQC	1   	1.0   	0   	AS_MISSILE   	Air-strike Missile
02012	64012	SpAtk	BSQC	2   	1.0   	0   	AS_MISSILE   	Air-strike Missile
02013	64013	SpAtk	BSQC	3   	1.0   	0   	AS_MISSILE   	Air-strike Missile
02014	64014	SpAtk	BSQC	4   	1.0   	0   	AS_MISSILE   	Air-strike Missile
02015	64015	SpAtk	BSQC	5   	1.0   	0   	AS_MISSILE   	Air-strike Missile
02021	64021	SpAtk	BSQC	1   	2.0 	0   	AS_NUCLEAR   	Air-strike Nuclear
02022	64022	SpAtk	BSQC	2   	2.0 	0   	AS_NUCLEAR   	Air-strike Nuclear
02023	64023	SpAtk	BSQC	3   	2.0 	0   	AS_NUCLEAR   	Air-strike Nuclear
02024	64024	SpAtk	BSQC	4   	2.0 	0   	AS_NUCLEAR   	Air-strike Nuclear
02025	64025	SpAtk	BSQC	5   	2.0 	0   	AS_NUCLEAR   	Air-strike Nuclear
02031	64031	SpAtk	BSQC	1   	2.0   	0   	AS_EMP      	Air-strike EMP Shock
02032	64032	SpAtk	BSQC	2   	2.0   	0   	AS_EMP      	Air-strike EMP Shock
02033	64033	SpAtk	BSQC	3   	2.0   	0   	AS_EMP      	Air-strike EMP Shock
02034	64034	SpAtk	BSQC	4   	2.0   	0   	AS_EMP      	Air-strike EMP Shock
02041	64041	SpAtk	BSQC	1   	1.0   	0   	AS_LASER      	Air-strike Laser
02042	64042	SpAtk	BSQC	2   	1.0   	0   	AS_LASER      	Air-strike Laser
02043	64043	SpAtk	BSQC	3   	1.0   	0   	AS_LASER      	Air-strike Laser
02044	64044	SpAtk	BSQC	4   	1.0   	0   	AS_LASER      	Air-strike Laser
02101	64101	SpAtk	BSQC	1   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02102	64102	SpAtk	BSQC	2   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02103	64103	SpAtk	BSQC	3   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02104	64104	SpAtk	BSQC	4   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02105	64105	SpAtk	BSQC	5   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02106	64106	SpAtk	BSQC	6   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02107	64107	SpAtk	BSQC	7   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02108	64108	SpAtk	BSQC	8   	1.0   	0   	CF_MISSILE  	Crossfire Missile
02111	64111	SpAtk	BSQC	1   	1.0   	0   	CF_FLAME    	Crossfire Flame
02112	64112	SpAtk	BSQC	2   	1.0   	0   	CF_FLAME    	Crossfire Flame
02113	64113	SpAtk	BSQC	3   	1.0   	0   	CF_FLAME    	Crossfire Flame
02114	64114	SpAtk	BSQC	4   	1.0   	0   	CF_FLAME    	Crossfire Flame
02115	64115	SpAtk	BSQC	5   	1.0   	0   	CF_FLAME    	Crossfire Flame
//
04001	04001	Bot 	BSC 	0   	0   	0   	Bot_A01       	Attacker A1
04002	04002	Bot 	BSC 	0   	0   	0   	Bot_A02      	Attacker A2
04003	04003	Bot 	BSC 	0   	0   	0   	Bot_A03      	Attacker A3
//04101	04101	Bot 	BSC 	0   	0   	0   	Bot_D01      	Defender
//04102	04102	Bot 	BSC 	0   	0   	0   	Bot_D02      	Defender
04201	04201	Bot 	BSC 	0   	0   	0   	Bot_P01       	Item Picker A
04202	04202	Bot 	BSC 	0   	0   	0   	Bot_P02       	Item Picker B
04203	04203	Bot 	BSC 	0   	0   	0   	Bot_P03       	Item Picker C
// Light Machine-Gun
10041	10041	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_401	MG-16e
10011	10011	PtWpn	S   	0    	0    	0   	P_Wpn_Gun_101	MG-16
10042	10042	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_402	MG-20s
10012	10012	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_102	MG-20
10013	10013	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_103	MG-21
10047	10047	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_407	MG-200
10014	10014	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_104	MG-30
10043	10043	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_403	MG-21k
10015	10015	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_105	MG-40
10016	10016	PtWpn	BS  	0    	0    	0   	P_Wpn_Gun_106	MG-47
// Heavy Machine-Gun
10032	10032	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_01	MG-20k
10024	10024	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_02	MG-30i
10033	10033	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_03	MG-21s
10044	10044	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_04	MG-30e
10025	10025	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_05	MG-40e
10045	10045	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_06	MG-40 mk3
10034	10034	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_07	MG-30r
10035	10035	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_08	MG-40 mk2
10046	10046	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_09	MG-47.e
10026	10026	PtWpn	BS  	0    	0    	0   	P_Wpn_HMG_10	MG-47.k
// Light Missile
10111	10111	PtWpn	S   	0    	0    	0   	P_Wpn_Msl_101	ML-1
10118	10118	PtWpn	BS  	0    	0    	0   	P_Wpn_Msl_108	ML-E4
10112	10112	PtWpn	BS  	0    	0    	0   	P_Wpn_Msl_102	ML-K2
10115	10115	PtWpn	BS  	0    	0    	0   	P_Wpn_Msl_105	ML-603
10116	10116	PtWpn	BS  	0    	0    	0   	P_Wpn_Msl_106	ML-E1
10132	10132	PtWpn	BS  	0    	0    	0   	P_Wpn_Msl_302	ML-1 mk2
10133	10133	PtWpn	BS  	0    	0    	0   	P_Wpn_Msl_303	ML-60
