MachName    	Cost	UpgCost	Bld	Mul	Type  	Armor 	Weapon	Foot	Size
MachineGun_01	60  	200 	3	5	MACH	11001	10041	12007	20
MachineGun_02	80  	500 	3	5	MACH 	11002	10011	12008	20
MachineGun_03	100  	1000 	3	5	MACH 	11003	10042	12009	21
MachineGun_04	120  	2000 	3	4	MACH 	11004	10012	12010	21
MachineGun_05	150  	4000   	3	4	MACH 	11005	10013	12011	22
MachineGun_06	200  	8000 	5	4	MACH 	11006	10047	12012	22
MachineGun_07	250  	16000 	5	4	MACH 	11007	10014	12013	22
MachineGun_08	320  	32000 	5	3	MACH 	11008	10043	12014	23
MachineGun_09	400  	64000	5	3	MACH 	11009	10015	12015	23
MachineGun_10	500  	0   	5	3	MACH 	11010	10016	12016	24
HMG_01      	210  	2000 	9	3	MACH 	11011	10032	12009	20
HMG_02      	220  	5000 	9	3	MACH 	11012	10024	12009	22
HMG_03      	240  	10000 	9	3	MACH 	11013	10033	12010	24
HMG_04      	280  	20000 	9	3	MACH 	11014	10044	12010	26
HMG_05      	320  	40000  	9	2	MACH 	11015	10025	12011	28
HMG_06      	380  	75000 	9	2	MACH 	11016	10045	12012	30
HMG_07      	450  	150000 	9	2	MACH 	11017	10034	12012	32
HMG_08      	540  	300000 	9	2	MACH 	11018	10035	12013	35
HMG_09      	670  	500000 	9	1	MACH 	11019	10046	12013	38
HMG_10      	800  	0   	9	1	MACH 	11020	10026	12014	40
Missile_01  	150 	400 	10	2	MACH 	11021	10111	12001	20
Missile_02  	160 	800 	10	2	MACH 	11022	10118	12001	20
Missile_03  	180 	1600	10	2	MACH 	11023	10112	12002	21
Missile_04  	200 	3200	10	2	MACH 	11024	10115	12002	21
Missile_05  	240 	7000   	10	2	MACH 	11025	10116	12003	22
Missile_06  	280 	14000 	12	2	MACH 	11026	10132	12005	22
Missile_07  	320 	30000 	12	2	MACH 	11027	10133	12005	23
Missile_08  	380 	60000	12	2	MACH 	11028	10134	12006	23
Missile_09  	450 	120000	12	2	MACH 	11029	10135	12006	24
Missile_10  	600 	0   	12	2	MACH 	11030	10137	12007	24
HeavyMissile_01	300 	3000 	12	2	MACH 	11031	10126	12005	24
HeavyMissile_02	320 	5000 	12	2	MACH 	11032	10128	12005	26
HeavyMissile_03	350 	9000	12	2	MACH 	11033	10127	12006	28
HeavyMissile_04	400 	17000	12	2	MACH 	11034	10143	12006	30
HeavyMissile_05	450 	33000  	12	2	MACH 	11035	10140	12007	32
HeavyMissile_06	520 	65000 	15	2	MACH 	11036	10129	12007	34
HeavyMissile_07	600 	120000 	15	1	MACH 	11037	10144	12008	36
HeavyMissile_08	700 	230000	15	1	MACH 	11038	10130	12008	38
HeavyMissile_09	800 	650000	15	1	MACH 	11039	10131	12009	40
HeavyMissile_10	920 	0   	15	1	MACH 	11040	10145	12009	42
ShotGun_01  	130 	900 	6	2	MACH 	11051	10211	12004	20
ShotGun_02  	140 	1800 	6	2	MACH 	11052	10215	12005	21
ShotGun_03  	150 	3500 	6	2	MACH 	11053	10218	12006	23
ShotGun_04  	170 	7000 	6	2	MACH 	11054	10212	12007	25
ShotGun_05  	200 	12000  	6	2	MACH 	11055	10226	12008	27
ShotGun_06  	240 	25000 	8	2	MACH 	11056	10221	12009	28
ShotGun_07  	290 	50000 	8	1	MACH 	11057	10228	12010	30
ShotGun_08  	340 	125000	8	1	MACH 	11058	10224	12011	32
ShotGun_09  	400 	232000	8	1	MACH 	11059	10230	12012	34
ShotGun_10  	480 	0   	8	1	MACH 	11060	10223	12013	35
PlasmaGun_01  	250 	4000 	8	3	MACH 	11061	10416	12011	26
PlasmaGun_02  	260 	7500 	8	3	MACH 	11062	10417	12011	28
PlasmaGun_03  	280 	14200	8	3	MACH 	11063	10418	12012	30
PlasmaGun_04  	300 	27300	8	3	MACH 	11064	10419	12012	32
PlasmaGun_05  	330 	54400  	8	2	MACH 	11065	10420	12013	34
PlasmaGun_06	370 	112000 	10	2	MACH 	11066	10421	12014	36
PlasmaGun_07	420 	225000 	10	2	MACH 	11067	10422	12014	38
PlasmaGun_08	480 	424000	10	1	MACH 	11068	10423	12015	40
PlasmaGun_09	550 	847000	10	1	MACH 	11069	10428	12015	42
PlasmaGun_10	640 	0   	10	1	MACH 	11070	10429	12016	44
IonRifle_01 	800 	4300 	10	3	MACH 	11071	10311	12014	22
IonRifle_02 	1000 	7800 	10	3	MACH 	11072	10312	12014	24
IonRifle_03 	1200 	14500	10	3	MACH 	11073	10313	12015	26
IonRifle_04 	1400 	30700	10	3	MACH 	11074	10316	12015	28
IonRifle_05 	1700 	61400 	10	2	MACH 	11075	10317	12016	30
IonRifle_06 	2000 	125800 	12	2	MACH 	11076	10318	12014	32
IonRifle_07 	2400 	227000 	12	2	MACH 	11077	10319	12014	34
IonRifle_08 	2800 	458000	12	1	MACH 	11078	10321	12015	36
IonRifle_09 	3200 	921000	12	1	MACH 	11079	10340	12015	38
IonRifle_10 	3600 	0   	12	1	MACH 	11080	10320	12016	40
