MachName	HP  	EXP 	Spd	Type	Refer	Rad	Coin%	Coin	ItemRegen	BaseParts	
Player  	512 	0   	0	PLAYER	-   	20	0   	0   	NULL    	DummyParts
Base01  	512 	0   	0	TURRET	-   	64	0   	0   	NULL    	DummyParts
Base02  	512 	0   	0	TURRET	-   	64	0   	0   	NULL    	DummyParts
Base03  	512 	0   	0	TURRET	-   	64	0   	0   	NULL    	DummyParts
Base04  	512 	0   	0	TURRET	-   	64	0   	0   	NULL    	DummyParts
Base05  	512 	0   	0	TURRET	-   	64	0   	0   	NULL    	DummyParts
Base06  	512 	0   	0	TURRET	-   	64	0   	0   	NULL    	DummyParts
Base07  	512 	0   	0	TURRET	-   	64	0   	0   	NULL    	DummyParts
E_Base  	2000	0   	0	TURRET	-   	64	0   	0   	NULL    	E_Base
Bot_A01 	200 	0   	2	BOT 	BOT_A	15	0   	0   	NULL    	B_A_Body_01
Bot_A02 	800 	0   	2	BOT 	BOT_A	15	0   	0   	NULL    	B_A_Body_02
Bot_A03 	2400 	0   	2	BOT 	BOT_A	15	0   	0   	NULL    	B_A_Body_03
Bot_D01 	200 	0   	2	BOT 	BOT_D	15	0   	0   	NULL    	B_D_Body_01
Bot_D02 	200 	0   	2	BOT 	BOT_D	15	0   	0   	NULL    	B_D_Body_02
Bot_P01 	200 	0   	2	BOT 	BOT_P	15	0   	0   	NULL    	B_P_Body_01
Bot_P02 	700 	0   	2	BOT 	BOT_P	15	0   	0   	NULL    	B_P_Body_02
Bot_P03 	2000 	0   	2	BOT 	BOT_P	15	0   	0   	NULL    	B_P_Body_03
Bot_P04 	2000 	0   	2	BOT 	BOT_P	15	0   	0   	NULL    	B_P_Body_04
Bot_P05 	2000 	0   	2	BOT 	BOT_P	15	0   	0   	NULL    	B_P_Body_05
Bot_P06 	2000 	0   	2	BOT 	BOT_P	15	0   	0   	NULL    	B_P_Body_06
// BuildMach
Tanker_01	1000 	0   	0.8	TANK	-   	30	100  	10   	NULL    	PB_Tanker_01
Tanker_02	1200 	0   	0.9	TANK	-   	30	100  	10   	NULL    	PB_Tanker_02
Tanker_03	1400 	0   	1.0	TANK	-   	30	100  	10   	NULL    	PB_Tanker_03
Tanker_04	1600 	0   	1.1	TANK	-   	30	100  	10   	NULL    	PB_Tanker_04
Tanker_05	1900 	0   	1.2	TANK	-   	30	100  	10   	NULL    	PB_Tanker_05
Tanker_06	2400 	0   	1.3	TANK	-   	30	100  	10   	NULL    	PB_Tanker_06
Tanker_07	2800 	0   	1.4	TANK	-   	30	100  	10   	NULL    	PB_Tanker_07
Tanker_08	3300 	0   	1.5	TANK	-   	30	100  	10   	NULL    	PB_Tanker_08
Tanker_09	3900 	0   	1.6	TANK	-   	30	100  	10   	NULL    	PB_Tanker_09
Tanker_10	4600 	0   	1.7	TANK	-   	30	100  	10   	NULL    	PB_Tanker_10
// BuildTurret
