Stage	ImageFile	PositionX	PositionY	Unlock
1	BG_01	30	30	-
2	BG_02	90	60	-
3	BG_03	160	90	-
4	BG_04	240	135	-
5	BG_05	240	180	HMG
6	BG_06	240	225	-
7	BG_07	240	270	-
8	BG_08	240	315	-
9	BG_09	240	360	-
10	BG_10	240	405	HeavyMissile
11	BG_11	240	450	-
12	BG_12	240	495	-
13	BG_13	240	540	-
14	BG_14	240	585	-
15	BG_15	240	630	-
16	BG_16	240	675	-
17	BG_17	240	720	-
18	BG_18	240	765	-
19	BG_19	240	810	-
20	BG_20	240	855	-
21	BG_21	240	900	-
22	BG_22	240	945	-
23	BG_23	240	990	-
24	BG_24	240	1035	-
25	BG_25	240	1080	-
26	BG_21	240	1125	-
27	BG_09	240	1170	-
28	BG_12	240	1215	-
29	BG_14	240	1260	-
30	BG_05	240	1305	-
31	BG_18	240	1350	-
32	BG_07	240	1395	-
33	BG_13	240	1440	-
34	BG_06	240	1485	-
35	BG_25	240	1530	-
36	BG_01	240	1575	-
37	BG_04	240	1620	-
38	BG_15	240	1665	-
39	BG_20	240	1710	-
40	BG_02	240	1755	-
41	BG_08	240	1800	-
42	BG_19	240	1845	-
43	BG_22	240	1890	-
44	BG_11	240	1935	-
45	BG_23	240	1980	-
46	BG_17	240	2025	-
47	BG_11	240	2070	-
48	BG_18	240	2115	-
49	BG_01	240	2160	-
50	BG_16	240	2205	-
51	BG_15	240	2250	-
52	BG_21	240	2295	-
53	BG_09	240	2340	-
54	BG_12	240	2385	-
55	BG_14	240	2430	-
56	BG_05	240	2475	-
57	BG_18	240	2520	-
58	BG_07	240	2565	-
59	BG_13	240	2610	-
60	BG_06	240	2655	-
61	BG_24	240	2700	-
62	BG_16	240	2745	-
63	BG_15	240	2790	-
64	BG_21	240	2835	-
65	BG_09	240	2880	-
66	BG_12	240	2925	-
67	BG_14	240	2970	-
68	BG_05	240	3015	-
69	BG_18	240	3060	-
70	BG_01	240	3105	-
