AttackName          	Cost	UpgCost	ItemId
AirStrike-Bomb_01   	150  	500 	02001
AirStrike-Bomb_02   	200  	1000 	02002
AirStrike-Bomb_03   	270 	2000 	02003
AirStrike-Bomb_04   	350 	4000 	02004
AirStrike-Bomb_05   	450 	8000 	02005
AirStrike-Missile_01	210  	500 	02011
AirStrike-Missile_02	270 	1000 	02012
AirStrike-Missile_03	440 	2000 	02013
AirStrike-Missile_04	620 	4000 	02014
AirStrike-Missile_05	710 	8000 	02015
AirStrike-Nuclear_01	300 	500 	02021
AirStrike-Nuclear_02	400 	1000 	02022
AirStrike-Nuclear_03	550 	2000 	02023
AirStrike-Nuclear_04	700 	4000 	02024
AirStrike-Nuclear_05	900 	8000 	02025
AirStrike-EMP_01    	600  	500 	02031
AirStrike-EMP_02    	800 	1000 	02032
AirStrike-EMP_03    	1100 	2000 	02033
AirStrike-EMP_04    	1500 	4000 	02034
Crossfire-Missile_01	450 	500 	02101
Crossfire-Missile_02	500 	1000 	02102
Crossfire-Missile_03	560 	1800 	02103
Crossfire-Missile_04	630 	3000 	02104
Crossfire-Missile_05	710 	5000 	02105
Crossfire-Missile_06	800 	8000 	02106
Crossfire-Missile_07	900 	13000 	02107
Crossfire-Missile_08	1200	20000 	02108
//Crossfire-Flame_01  	100 	500 	02111
//Crossfire-Flame_02  	100 	500 	02112
//Crossfire-Flame_03   	100 	500 	02113
//Crossfire-Flame_04  	100 	500 	02114
//Crossfire-Flame_05  	100 	500 	02115
