Parts       	Type	Grd	Dmg 	Range	ShtRng	ShtCnt	ShtDly	RldDly	Speed	AimRt	sp1	sp2	UiTile	BltTile 	EffType	EffTile 	Shell	FireEff	ExplodeEff  	ExplScl	FireSound
DummyWeapon   	Gun 	1	5	0	140	1	1	1	1	1	0	0	0	-	-	-	0	0	Damage      	0.5	HMG01.wav
//																					
BaseWpn01   	Gun 	1	10	0	300	10	0.16	2.5	1	1	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
BaseWpn02   	Gun 	2	12	0	340	12	0.15	2.4	1	0.95	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
BaseWpn03   	Gun 	3	14	0	380	14	0.14	2.3	1	0.9	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
BaseWpn04   	Gun 	4	16	0	420	16	0.13	2.2	1	0.85	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
BaseWpn05   	Gun 	5	20	0	460	18	0.12	2.1	1	0.8	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
BaseWpn06   	Gun 	6	25	0	500	20	0.11	2	1	0.75	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
BaseWpn07   	Gun 	7	30	0	540	24	0.1	1.9	1	0.7	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
// Light Machine-Gun																					
P_Wpn_Gun_401	Bomb 	1	9	0	200	6	0.2	2.5	1	1	0	0	0	Bullet_21	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_101	Bomb 	2	11	0	210	9	0.19	2.4	1	0.95	0	0	0	Bullet_21  	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_402	Bomb 	3	13	0	220	12	0.18	2.3	1	0.9	0	0	0	Bullet_21   -   	-       	-	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_102	Bomb 	4	15	0	230	16	0.17	2.2	1	0.85	0	0	0	Bullet_21	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_103	Bomb 	5	18	0	240	18	0.16	2.1	1	0.8	0	0	0	Bullet_21       	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_407	Bomb 	6	21	0	250	21	0.15	2	1	0.75	0	0	0	Bullet_21       	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_104	Bomb 	7	24	0	260	24	0.14	1.9	1	0.7	0	0	0	Bullet_21       	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_403	Bomb 	8	27	0	270	28	0.13	1.8	1	0.65	0	0	0	Bullet_21       	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_105	Bomb 	9	30	0	280	32	0.12	1.7	1	0.6	0	0	0	Bullet_21       	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
P_Wpn_Gun_106	Bomb 	10	31	0	290	36	0.1	1.6	1	0.5	0	0	0	Bullet_21       	-   	-       	0	0	Damage      	0.8	MachineGun01.wav
// Light Missile																					
P_Wpn_Msl_101	Missile	1	50	60	250	2	0.5	2.5	0.2	0.8	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_108	Missile	2	70	62	260	2	0.5	2.5	0.22	0.74	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_102	Missile	3	70	64	270	3	0.45	2.5	0.24	0.68	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_105	Missile	4	94	66	280	3	0.45	2.5	0.26	0.62	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_106	Missile	5	86	68	300	4	0.4	2	0.28	0.56	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_302	Missile	6	110	70	320	4	0.4	2	0.3	0.5	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_303	Missile	7	116	74	340	5	0.35	2	0.32	0.44	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_304	Missile	8	132	78	360	6	0.35	2	0.34	0.38	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_305	Missile	9	124	82	380	7	0.3	1.5	0.36	0.32	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_307	Missile	10	150	88	400	8	0.3	1.5	0.4	0.25	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
// Shot-Gun																					
P_Wpn_Shg_101	Shotgun	1	20	0	170	6	0	1	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_105	Shotgun	1	23	0	175	6	0	1	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_108	Shotgun	1	23	0	180	7	0	1	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_102	Shotgun	1	26	0	185	7	0	0.95	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_206	Shotgun	1	28	0	190	8	0	0.95	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
