Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_17	70	8	2
1	E_Tank_18	90	7	2
1	E_Tank_19	10	5	1
1	E_Tank_29	99	3	5
1	E_Tank_21	30	1	5

// 난이도 2
2	E_Tank_16	120	5	1
2	E_Tank_17	90	7	2
2	E_Tank_19	10	7	2
2	E_Tank_32	99	2	5
2	E_Tank_13	120	5	6
2	E_Tank_01	100	10	2

// 난이도 3
3	E_Tank_17	50	10	2
3	E_Tank_18	80	5	1
3	E_Tank_19	70	7	2
3	E_Tank_22	80	1	5
3	E_Tank_31	99	2	5

// 난이도 4
4	E_Tank_23	50	1	5
4	E_Tank_17	80	7	1
4	E_Tank_19	70	7	2
4	E_Tank_18	10	7	2
4	E_Tank_24	99	3	5
4	E_Tank_01	100	10	2

// 난이도 5
5	E_Tank_19	80	5	1
5	E_Tank_22	90	2	4
5	E_Tank_21	10	2	5
5	E_Tank_29	99	2	5
